subgenre,broad_genre
A Cappella,Pop
Abstract,Experimental
Abstract Beats,Experimental
Abstract Hip Hop,Hip Hop
Abstract Idm,Electronic
Abstractro,Experimental
Accordion,Other
Acid House,Electronic
Acid Jazz,Jazz
Acid Techno,Electronic
Acousmatic,Experimental
Acoustic Blues,Blues
Acoustic Pop,Pop
Adult Standards,Pop
African Percussion,Folk
African Rock,Rock
Afrikaans,Folk
Afrobeat,R&B
Afrobeats,R&B
Aggrotech,Electronic
Albanian Pop,Pop
Album Rock,Rock
Albuquerque Indie,Other
Alternative Americana,Country
Alternative Country,Country
Alternative Dance,Electronic
Alternative Emo,Rock
Alternative Hardcore,Rock
Alternative Hip Hop,Hip Hop
Alternative Metal,Metal
Alternative Metalcore,Metal
Alternative New Age,Experimental
Alternative Pop,Pop
Alternative Pop Rock,Rock
Alternative R&B,R&B
Alternative Rock,Rock
Alternative Roots Rock,Rock
Ambeat,Electronic
Ambient,Electronic
Ambient Dub Techno,Electronic
Ambient Fusion,Electronic
Ambient Idm,Electronic
Ambient Psychill,Electronic
Ambient Trance,Electronic
Anarcho-punk,Rock
Andean,Folk
Anime,Other
Anime Score,Other
Anti-folk,Folk
Antiviral Pop,Pop
Appalachian Folk,Folk
Arab Folk,Folk
Arab Pop,Pop
Arabesk,Folk
Argentine Indie,Other
Argentine Reggae,Folk
Argentine Rock,Rock
Armenian Folk,Folk
Art Rock,Rock
Athens Indie,Other
Atmospheric Black Metal,Metal
Atmospheric Post Rock,Rock
Atmospheric Post-metal,Metal
Aussietronica,Electronic
Austindie,Other
Australian Alternative Rock,Rock
Australian Country,Country
Australian Dance,Electronic
Australian Hip Hop,Hip Hop
Australian Indie,Other
Australian Pop,Pop
Austrian Hip Hop,Hip Hop
Austropop,Pop
Avant-garde,Experimental
Avant-garde Jazz,Jazz
Avantgarde Metal,Metal
Axe,Other
Azonto,Folk
Bachata,Other
Baile Funk,Electronic
Balearic,Electronic
Balkan Brass,Folk
Banda,Folk
Bangla,Folk
Barbershop,Jazz
Barnemusikk,Folk
Barnmusik,Folk
Baroque,Classical
Baroque Ensemble,Classical
Basque Rock,Rock
Bass Music,Electronic
Bass Trip,Electronic
Bassline,Other
Bay Area Hip Hop,Hip Hop
Beach Music,Other
Beatdown,Other
Beats & Rhymes,Other
Bebop,Jazz
Belgian Indie,Other
Belgian Rock,Rock
Belly Dance,Other
Belorush,Other
Bemani,Other
Benga,Other
Bhangra,Hip Hop
Big Band,Other
Big Beat,Electronic
Big Room,Other
Black Death,Metal
Black Metal,Metal
Black Sludge,Metal
Black Thrash,Metal
Blackgaze,Metal
Blaskapelle,Metal
Bluegrass,Blues
Blues,Blues
Blues-rock,Rock
Blues-rock Guitar,Rock
Bmore,Other
Bolero,Other
Boogaloo,Other
Boogie-woogie,Other
Bossa Nova,Jazz
Bossa Nova Jazz,Jazz
Boston Rock,Rock
Bounce,Other
Bouncy House,Electronic
Bow Pop,Pop
Boy Band,Other
Brass Band,Other
Brass Ensemble,Other
Brazilian Composition,Other
Brazilian Gospel,Other
Brazilian Hip Hop,Hip Hop
Brazilian Indie,Other
Brazilian Pop Music,Pop
Brazilian Punk,Rock
Breakbeat,Electronic
Breakcore,Experimental
Breaks,Other
Brega,Other
Breton Folk,Folk
Brill Building Pop,Pop
British Alternative Rock,Rock
British Blues,Blues
British Brass Band,Other
British Dance Band,Other
British Folk,Folk
British Indie Rock,Rock
British Invasion,Other
Britpop,Pop
Broadway,Other
Broken Beat,Other
Brooklyn Indie,Other
Brostep,Electronic
Brutal Death Metal,Metal
Brutal Deathcore,Metal
Bubble Trance,Electronic
Bubblegum Dance,Pop
Bubblegum Pop,Pop
Bulgarian Rock,Rock
Byzantine,Other
C-pop,Pop
C64,Other
C86,Other
Cabaret,Other
Cajun,Other
Calypso,Folk
Canadian Country,Country
Canadian Hip Hop,Hip Hop
Canadian Indie,Other
Canadian Metal,Metal
Canadian Pop,Pop
Candy Pop,Pop
Cantautor,Other
Cante Flamenco,Other
Canterbury Scene,Other
Cantopop,Pop
Canzone Napoletana,Other
Capoeira,Hip Hop
Carnatic,Other
Catstep,Other
Caucasian Folk,Folk
Ccm,Other
Ceilidh,Other
Cello,Other
Celtic,Folk
Celtic Christmas,Folk
Celtic Punk,Rock
Celtic Rock,Rock
Central Asian Folk,Folk
Chalga,Other
Chamber Pop,Pop
Chanson,Other
Chanson Quebecois,Other
Chaotic Black Metal,Metal
Chaotic Hardcore,Rock
Charred Death,Metal
Chicago Blues,Blues
Chicago House,Electronic
Chicago Indie,Other
Chicago Soul,R&B
Chicano Rap,Hip Hop
Children's Christmas,Other
Children's Music,Other
Chilean Rock,Rock
Chill Groove,Other
Chill Lounge,Other
Chill-out,Other
Chill-out Trance,Electronic
Chillstep,Other
Chillwave,Electronic
Chinese Indie Rock,Rock
Chinese Opera,Hip Hop
Chinese Traditional,Folk
Chip Hop,Hip Hop
Chiptune,Other
Choral,Other
Choro,Folk
Christian Alternative Rock,Rock
